hisco_id,unit_id,micro_suffix,hisco_pretty,label,description
1110,11,10,0-11.10,"Chemist, General","Conducts chemical experiments, tests and analyses to investigate chemical phenomena, to test, develop or improve materials and products and to control or develop industrial processes."
1120,11,20,0-11.20,Organic Chemist,"Conducts chemical experiments, tests and analyses on substances of which main element is carbon, to investigate chemical phenomena, to test, develop or improve materials and products or to control or develop industrial processes."
1130,11,30,0-11.30,Inorganic Chemist,"Conducts chemical experiments, tests and analyses on substances free or relatively free of carbon to investigate chemical phenomena, to test, develop or improve materials and products, or to control or develop industrial processes."
1140,11,40,0-11.40,Physical Chemist,"Conducts research into relationships between chemical and physical properties of substances to increase knowledge of physical aspects of chemical phenomena or to develop or improve materials, products or industrial processes."
1150,11,50,0-11.50,Analytical Chemist,Carries out chemical tests and analyses of substances and develops and improves analytical methodology and techniques.
1190,11,90,0-11.90,Other Chemists,"This group includes chemists not elsewhere classified, for example those who specialise in the development and technical control of the manufacture of pharmaceutical products. Pharmacologist is classified in 0-52.70 and Pharmacist in 0-67.10."
1210,12,10,0-12.10,"Physicist, General","Conducts research into physical phenomena to increase scientific knowledge and to develop and improve materials, products and industrial and other processes."
1220,12,20,0-12.20,Mechanics Physicist,"Conducts research in the field of mechanics to investigate physical phenomena or to develop or improve materials, products or industrial and other processes."
1230,12,30,0-12.30,Heat Physicist,"Conducts research into nature and effects of heat to increase scientific knowledge or to develop or improve materials, products or industrial and other processes."
1240,12,40,0-12.40,Light Physicist,"Conducts research into nature and effects of light to increase scientific knowledge or to develop or improve materials, products or industrial and other processes."
1250,12,50,0-12.50,Sound Physicist,"Conducts research into nature and effects of sound to increase scientific knowledge or to develop or improve materials, products or industrial and other processes."
1260,12,60,0-12.60,Electricity and Magnetism Physicist,"Conducts research into nature and properties of electricity and magnetism to increase scientific knowledge or to develop or improve materials, products or industrial and other processes."
1270,12,70,0-12.70,Electronics Physicist,"Conducts research into nature and behaviour of electrons to increase scientific knowledge or to develop or improve materials, products or industrial or other processes."
1280,12,80,0-12.80,Nuclear Physicist,"Conducts research into structure and characteristics of atoms, molecules and nuclei to increase scientific knowledge or to discover practical applications of atomic, molecular and nuclear physics."
1290,12,90,0-12.90,Other Physicists,"This group includes physicists not elsewhere classified, for example those who conduct research into structure and properties of matter in solid state; or specialise in pure research and formulate theories based on analysis of established data to explain relationships between observed physical phenomena and to explain previously unobserved phenomena, or predict results of experiments designed to detect and measure them."
1320,13,20,0-13.20,Geophysical Scientist,"Conducts research into physical nature of earth, including its atmosphere and hydrosphere, to increase scientific knowledge and to develop practical applications in such fields as radio communications, water conservation, volcanology and mineral exploration."
1330,13,30,0-13.30,Geological Scientist,Conducts research into nature and history of earth's crust to increase scientific knowledge and to develop practical applications in such fields as mineral exploitation and civil engineering.
